,arch_name,arch,config,Num_conv,Num_denses,Num_pooling,Num_normalization,Num_droputs,KW,Filters,drop_ratio,num_simulation,folder,metric_presets,tags,accuracy,precision,recall,f1_score,roc_auc
12,architecture_3conv_3dense_7,"['C', 'N', 'C', 'N', 'C', 'N', 'P', 'flatten', 'F', 'F', 'F', '2048', '1025', '2']",config1,3,3,1,3,0,50_cte,16_cte,0.5_cte,sim_1,fold_4,['ClassificationPreset'],"['N_Full', 'P_Full', 'D_None', 'KW#50_cte', 'F#16_cte', 'RD#0.5_cte']",0.48333333333333334,0.49122807017543857,0.9333333333333333,0.6436781609195402,0.45111111111111113
13,architecture_3conv_3dense_7,"['C', 'N', 'C', 'N', 'C', 'N', 'P', 'flatten', 'F', 'F', 'F', '2048', '1025', '2']",config2,3,3,1,3,0,5_cte,16_cte,0.5_cte,sim_10,fold_2,['ClassificationPreset'],"['N_Full', 'P_Full', 'D_None', 'KW#5_cte', 'F#16_cte', 'RD#0.5_cte']",0.48333333333333334,0.49122807017543857,0.9333333333333333,0.6436781609195402,0.45111111111111113
14,architecture_3conv_3dense_8,"['C', 'C', 'N', 'C', 'P', 'flatten', 'F', 'F', 'F', '2048', '1025', '2']",config1,3,3,1,1,0,50_cte,16_cte,0.5_cte,sim_1,fold_4,['ClassificationPreset'],"['N_Parcial', 'P_Full', 'D_None', 'KW#50_cte', 'F#16_cte', 'RD#0.5_cte']",0.48333333333333334,0.49122807017543857,0.9333333333333333,0.6436781609195402,0.45111111111111113
15,architecture_3conv_3dense_8,"['C', 'C', 'N', 'C', 'P', 'flatten', 'F', 'F', 'F', '2048', '1025', '2']",config2,3,3,1,1,0,5_cte,16_cte,0.5_cte,sim_1,fold_4,['ClassificationPreset'],"['N_Parcial', 'P_Full', 'D_None', 'KW#5_cte', 'F#16_cte', 'RD#0.5_cte']",0.48333333333333334,0.49122807017543857,0.9333333333333333,0.6436781609195402,0.45111111111111113
16,architecture_3conv_3dense_9,"['C', 'C', 'C', 'flatten', 'F', 'F', 'F', '2048', '1025', '2']",config1,3,3,0,0,0,50_cte,16_cte,0.5_cte,sim_9,fold_3,['ClassificationPreset'],"['N_None', 'P_None', 'D_None', 'KW#50_cte', 'F#16_cte', 'RD#0.5_cte']",0.48333333333333334,0.49122807017543857,0.9333333333333333,0.6436781609195402,0.45111111111111113
17,architecture_3conv_3dense_9,"['C', 'C', 'C', 'flatten', 'F', 'F', 'F', '2048', '1025', '2']",config2,3,3,0,0,0,5_cte,16_cte,0.5_cte,sim_8,fold_5,['ClassificationPreset'],"['N_None', 'P_None', 'D_None', 'KW#5_cte', 'F#16_cte', 'RD#0.5_cte']",0.48333333333333334,0.49122807017543857,0.9333333333333333,0.6436781609195402,0.45111111111111113
18,architecture_3conv_3dense_10,"['C', 'C', 'C', 'N', 'P', 'flatten', 'F', 'F', 'F', '2048', '1025', '2']",config1,3,3,1,1,0,50_cte,16_cte,0.5_cte,sim_3,fold_1,['ClassificationPreset'],"['N_Parcial', 'P_Full', 'D_None', 'KW#50_cte', 'F#16_cte', 'RD#0.5_cte']",0.48333333333333334,0.49122807017543857,0.9333333333333333,0.6436781609195402,0.45111111111111113
19,architecture_3conv_3dense_10,"['C', 'C', 'C', 'N', 'P', 'flatten', 'F', 'F', 'F', '2048', '1025', '2']",config2,3,3,1,1,0,5_cte,16_cte,0.5_cte,sim_1,fold_4,['ClassificationPreset'],"['N_Parcial', 'P_Full', 'D_None', 'KW#5_cte', 'F#16_cte', 'RD#0.5_cte']",0.48333333333333334,0.49122807017543857,0.9333333333333333,0.6436781609195402,0.45111111111111113
20,architecture_3conv_3dense_11,"['C', 'N', 'P', 'C', 'N', 'P', 'C', 'N', 'P', 'flatten', 'F', 'F', 'F', '2048', '1025', '2']",config1,3,3,3,3,0,50_cte,16_cte,0.5_cte,sim_1,fold_5,['ClassificationPreset'],"['N_Full', 'P_Full', 'D_None', 'KW#50_cte', 'F#16_cte', 'RD#0.5_cte']",0.5166666666666667,0.5172413793103449,0.5,0.5084745762711865,0.46555555555555556
21,architecture_3conv_3dense_11,"['C', 'N', 'P', 'C', 'N', 'P', 'C', 'N', 'P', 'flatten', 'F', 'F', 'F', '2048', '1025', '2']",config2,3,3,3,3,0,5_cte,16_cte,0.5_cte,sim_1,fold_4,['ClassificationPreset'],"['N_Full', 'P_Full', 'D_None', 'KW#5_cte', 'F#16_cte', 'RD#0.5_cte']",0.5166666666666667,0.5172413793103449,0.5,0.5084745762711865,0.46555555555555556
