,accuracy,precision,recall,f1,roc_auc,directorio,epochs,frozen_layers,model,num_simulation,folder
0,0.7,0.8333333333333334,0.5,0.625,0.7922222222222222,model_yolov8n-cls.pt_8_100,100,8,yolov8n-cls.pt,sim_1,fold_3
1,0.7,0.8333333333333334,0.5,0.625,0.8044444444444444,model_yolov8n-cls.pt_8_300,300,8,yolov8n-cls.pt,sim_1,fold_2
2,0.7166666666666667,0.8421052631578947,0.5333333333333333,0.653061224489796,0.8022222222222223,model_yolov8n-cls.pt_8_50,50,8,yolov8n-cls.pt,sim_1,fold_2
3,0.6666666666666666,0.9166666666666666,0.36666666666666664,0.5238095238095238,0.8511111111111112,model_yolov8s-cls.pt_0_100,100,0,yolov8s-cls.pt,sim_1,fold_2
4,0.65,0.9090909090909091,0.3333333333333333,0.4878048780487804,0.8666666666666667,model_yolov8s-cls.pt_0_300,300,0,yolov8s-cls.pt,sim_1,fold_2
5,0.6166666666666667,0.8888888888888888,0.26666666666666666,0.41025641025641024,0.8322222222222223,model_yolov8s-cls.pt_0_50,50,0,yolov8s-cls.pt,sim_1,fold_2
6,0.7166666666666667,0.9333333333333333,0.4666666666666667,0.6222222222222223,0.828888888888889,model_yolov8s-cls.pt_3_100,100,3,yolov8s-cls.pt,sim_1,fold_2
7,0.6666666666666666,0.9166666666666666,0.36666666666666664,0.5238095238095238,0.8644444444444443,model_yolov8l-cls.pt_8_100,100,8,yolov8l-cls.pt,sim_1,fold_2
8,0.6833333333333333,1.0,0.36666666666666664,0.5365853658536585,0.8822222222222222,model_yolov8l-cls.pt_8_300,300,8,yolov8l-cls.pt,sim_1,fold_2
9,0.6333333333333333,0.9,0.3,0.45000000000000007,0.8066666666666666,model_yolov8l-cls.pt_8_50,50,8,yolov8l-cls.pt,sim_1,fold_2
10,0.6166666666666667,0.8181818181818182,0.3,0.43902439024390244,0.8688888888888888,model_yolov8m-cls.pt_0_100,100,0,yolov8m-cls.pt,sim_1,fold_4
11,0.6666666666666666,0.9166666666666666,0.36666666666666664,0.5238095238095238,0.8855555555555557,model_yolov8m-cls.pt_0_300,300,0,yolov8m-cls.pt,sim_1,fold_2
12,0.6833333333333333,0.9230769230769231,0.4,0.5581395348837209,0.8333333333333334,model_yolov8m-cls.pt_0_50,50,0,yolov8m-cls.pt,sim_1,fold_2
13,0.65,0.7647058823529411,0.43333333333333335,0.5531914893617021,0.8255555555555556,model_yolov8m-cls.pt_9_100,100,9,yolov8m-cls.pt,sim_1,fold_4
14,0.65,0.7647058823529411,0.43333333333333335,0.5531914893617021,0.8355555555555556,model_yolov8m-cls.pt_9_300,300,9,yolov8m-cls.pt,sim_1,fold_3
15,0.6666666666666666,0.9166666666666666,0.36666666666666664,0.5238095238095238,0.8322222222222222,model_yolov8s-cls.pt_3_50,50,3,yolov8s-cls.pt,sim_1,fold_2
16,0.7,0.875,0.4666666666666667,0.608695652173913,0.7888888888888889,model_yolov8s-cls.pt_5_100,100,5,yolov8s-cls.pt,sim_1,fold_2
17,0.6,1.0,0.2,0.33333333333333337,0.8533333333333334,model_yolov8s-cls.pt_5_300,300,5,yolov8s-cls.pt,sim_1,fold_3
18,0.7166666666666667,0.8823529411764706,0.5,0.6382978723404256,0.7755555555555556,model_yolov8s-cls.pt_5_50,50,5,yolov8s-cls.pt,sim_1,fold_3
